location,name,freq,weighting,n_factors,date,ret
dnk,accruals,monthly,vw_cap,5,2000-10-31,-0.0631982280429336
dnk,accruals,monthly,vw_cap,5,2000-11-30,0.0420035797085217
dnk,accruals,monthly,vw_cap,5,2000-12-31,-0.0485327454025862
dnk,accruals,monthly,vw_cap,5,2001-01-31,0.0168865003172496
dnk,accruals,monthly,vw_cap,5,2001-02-28,-0.0424616061857846
dnk,accruals,monthly,vw_cap,5,2001-03-31,0.0939295721966697
dnk,accruals,monthly,vw_cap,5,2001-04-30,0.0256730002225388
dnk,accruals,monthly,vw_cap,5,2001-05-31,-0.00346190919426971
dnk,accruals,monthly,vw_cap,5,2001-06-30,0.04145292124695
dnk,accruals,monthly,vw_cap,5,2001-07-31,0.0322975746270305
dnk,accruals,monthly,vw_cap,5,2001-08-31,0.0777591926730507
dnk,accruals,monthly,vw_cap,5,2001-09-30,0.0157663152788335
dnk,accruals,monthly,vw_cap,5,2001-10-31,-0.0338432801347792
dnk,accruals,monthly,vw_cap,5,2001-11-30,-0.0315922129924329
dnk,accruals,monthly,vw_cap,5,2001-12-31,0.0305045506727347
dnk,accruals,monthly,vw_cap,5,2002-01-31,0.0441007682731651
dnk,accruals,monthly,vw_cap,5,2002-02-28,-0.0192094397958939
dnk,accruals,monthly,vw_cap,5,2002-03-31,-0.0437697726518626
dnk,accruals,monthly,vw_cap,5,2002-04-30,-0.00387227354615299
dnk,accruals,monthly,vw_cap,5,2002-05-31,0.0243336589301468
dnk,accruals,monthly,vw_cap,5,2002-06-30,-0.0117002053970165
dnk,accruals,monthly,vw_cap,5,2002-07-31,0.0231541931578614
dnk,accruals,monthly,vw_cap,5,2002-08-31,0.0200558005414528
dnk,accruals,monthly,vw_cap,5,2002-09-30,0.00388377343561428
dnk,accruals,monthly,vw_cap,5,2002-10-31,0.0185867196363287
dnk,accruals,monthly,vw_cap,5,2002-11-30,0.152923425449056
dnk,accruals,monthly,vw_cap,5,2002-12-31,-0.166881946232325
dnk,accruals,monthly,vw_cap,5,2003-01-31,0.0578424574082855
dnk,accruals,monthly,vw_cap,5,2003-02-28,-0.0388753630437764
dnk,accruals,monthly,vw_cap,5,2003-03-31,-0.11210617208629
dnk,accruals,monthly,vw_cap,5,2003-04-30,-0.00644961283600984
dnk,accruals,monthly,vw_cap,5,2003-05-31,0.0185287219823316
dnk,accruals,monthly,vw_cap,5,2003-06-30,-0.0468429648347185
dnk,accruals,monthly,vw_cap,5,2003-07-31,0.010968210164615
dnk,accruals,monthly,vw_cap,5,2003-08-31,-0.0118138505816542
dnk,accruals,monthly,vw_cap,5,2003-09-30,0.0240701203590221
dnk,accruals,monthly,vw_cap,5,2003-10-31,-0.0113068842280553
dnk,accruals,monthly,vw_cap,5,2003-11-30,0.0738965206052402
dnk,accruals,monthly,vw_cap,5,2003-12-31,0.0283380046735893
dnk,accruals,monthly,vw_cap,5,2004-01-31,0.0085708341079383
dnk,accruals,monthly,vw_cap,5,2004-02-29,-0.0297366722927156
dnk,accruals,monthly,vw_cap,5,2004-03-31,0.0191928602233829
dnk,accruals,monthly,vw_cap,5,2004-04-30,0.021468881764633
dnk,accruals,monthly,vw_cap,5,2004-05-31,-0.00959335942929627
dnk,accruals,monthly,vw_cap,5,2004-06-30,-0.0368388166557279
dnk,accruals,monthly,vw_cap,5,2004-07-31,0.00621255829242536
dnk,accruals,monthly,vw_cap,5,2004-08-31,-0.0179395475033394
dnk,accruals,monthly,vw_cap,5,2004-09-30,0.0198348426101298
dnk,accruals,monthly,vw_cap,5,2004-10-31,0.00998975302548221
dnk,accruals,monthly,vw_cap,5,2004-11-30,0.014100207989532
dnk,accruals,monthly,vw_cap,5,2004-12-31,0.00948901555965869
dnk,accruals,monthly,vw_cap,5,2005-01-31,0.00751497355131797
dnk,accruals,monthly,vw_cap,5,2005-02-28,0.00744431132864273
dnk,accruals,monthly,vw_cap,5,2005-03-31,0.0396169995396988
dnk,accruals,monthly,vw_cap,5,2005-04-30,0.00769995733696488
dnk,accruals,monthly,vw_cap,5,2005-05-31,-0.0063924078185001
dnk,accruals,monthly,vw_cap,5,2005-06-30,-0.0219818379357816
dnk,accruals,monthly,vw_cap,5,2005-07-31,0.00711888081875104
dnk,accruals,monthly,vw_cap,5,2005-08-31,0.0551727406938755
